strategy_family,tf,smooth_period,d1_period,d2_period,d1_threshold,d2_threshold,sl_atr_mult,rr,vol_lookback,vol_threshold,train_gate_coverage_pct,train_base_trades,train_base_win_rate,train_base_profit_factor,train_base_max_drawdown_pct,train_base_pnl_pct,train_gated_trades,train_gated_win_rate,train_gated_profit_factor,train_gated_max_drawdown_pct,train_gated_pnl_pct,train_delta_profit_factor,train_delta_drawdown_pct,train_delta_pnl_pct,train_trade_reduction_pct,oos_gate_coverage_pct,oos_base_trades,oos_base_win_rate,oos_base_profit_factor,oos_base_max_drawdown_pct,oos_base_pnl_pct,oos_gated_trades,oos_gated_win_rate,oos_gated_profit_factor,oos_gated_max_drawdown_pct,oos_gated_pnl_pct,oos_delta_profit_factor,oos_delta_drawdown_pct,oos_delta_pnl_pct,oos_trade_reduction_pct
derivative_high_vol,M1,20,8,4,0.1,0.0,1.0,2.0,200,0.7,32.87,16828,33.6,0.5578,100.0,-100.0,5282,33.38,0.652,100.0,-100.0,0.0942,0.0,0.0,68.61,32.87,81329,33.3,0.519,100.0,-100.0,26247,32.95,0.6149,100.0,-100.0,0.0959,0.0,0.0,67.73
derivative_high_vol,M5,20,8,2,0.1,0.0,1.0,2.0,200,0.8,30.54,3525,32.62,0.7632,99.9,-99.9,1014,34.22,0.9046,55.85,-55.04,0.1414,-44.05,44.86,71.23,28.57,17153,32.7,0.7514,100.0,-100.0,4743,33.08,0.8471,99.73,-99.71,0.0957,-0.27,0.29,72.35
derivative_high_vol,M1,20,4,4,0.1,0.0,1.0,2.0,200,0.7,32.87,22683,33.54,0.5567,100.0,-100.0,7144,32.6,0.6321,100.0,-100.0,0.0754,0.0,0.0,68.51,32.87,109750,33.32,0.5197,100.0,-100.0,35781,32.95,0.6151,100.0,-100.0,0.0954,0.0,0.0,67.4
derivative_high_vol,M1,20,4,4,0.1,0.0,1.0,2.0,200,0.8,25.44,22683,33.54,0.5567,100.0,-100.0,5449,32.21,0.625,100.0,-100.0,0.0683,0.0,0.0,75.98,25.53,109750,33.32,0.5197,100.0,-100.0,27529,32.69,0.6151,100.0,-100.0,0.0954,0.0,0.0,74.92
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,200,0.8,30.54,3529,19.16,0.7803,99.98,-99.97,1030,19.13,0.8434,84.72,-80.29,0.0631,-15.26,19.68,70.81,28.57,17192,19.44,0.7832,100.0,-100.0,4733,19.92,0.8785,99.77,-99.76,0.0953,-0.23,0.24,72.47
derivative_high_vol,M5,20,4,2,0.1,0.0,1.0,3.0,200,0.7,38.83,5000,24.12,0.7739,100.0,-100.0,1843,24.91,0.8732,92.91,-88.97,0.0993,-7.09,11.03,63.14,38.53,24252,24.26,0.767,100.0,-100.0,9046,24.92,0.8623,100.0,-100.0,0.0953,0.0,0.0,62.7
derivative_high_vol,M5,20,4,2,0.05,0.0,1.0,2.0,200,0.8,30.54,5075,31.9,0.7379,100.0,-100.0,1451,32.94,0.8554,84.47,-81.43,0.1175,-15.53,18.57,71.41,28.57,24560,32.22,0.7353,100.0,-100.0,6771,32.65,0.8306,99.99,-99.99,0.0953,-0.01,0.01,72.43
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,50,0.8,28.57,3529,19.16,0.7803,99.98,-99.97,1011,18.99,0.8083,87.57,-85.89,0.028,-12.41,14.08,71.35,28.48,17192,19.44,0.7832,100.0,-100.0,4915,20.53,0.8783,99.89,-99.83,0.0951,-0.11,0.17,71.41
derivative_high_vol,M1,20,4,2,0.1,0.0,1.0,2.0,200,0.8,25.44,25028,33.59,0.558,100.0,-100.0,6041,32.33,0.6299,100.0,-100.0,0.0719,0.0,0.0,75.86,25.53,120458,33.33,0.5199,100.0,-100.0,30328,32.69,0.6147,100.0,-100.0,0.0948,0.0,0.0,74.82
derivative_high_vol,M5,20,4,4,0.1,0.0,1.0,2.0,100,0.7,36.17,4559,32.31,0.7522,99.99,-99.99,1543,32.66,0.8263,89.78,-88.39,0.0741,-10.21,11.6,66.15,35.6,22101,32.55,0.7461,100.0,-100.0,7732,33.46,0.8406,100.0,-100.0,0.0945,0.0,0.0,65.02
derivative_high_vol,M5,20,4,4,0.05,0.0,1.5,3.0,100,0.8,29.19,4603,24.01,0.8234,99.97,-99.95,1257,25.54,0.9382,66.88,-55.5,0.1148,-33.09,44.45,72.69,28.11,22202,23.87,0.8094,100.0,-100.0,6045,24.93,0.9038,99.68,-99.63,0.0944,-0.32,0.37,72.77
derivative_high_vol,M5,20,8,4,0.1,0.0,1.0,4.0,50,0.8,28.57,3353,19.45,0.795,99.94,-99.92,944,19.81,0.8515,82.57,-76.54,0.0565,-17.37,23.38,71.85,28.48,16280,19.21,0.7717,100.0,-100.0,4702,20.29,0.8661,99.91,-99.87,0.0944,-0.09,0.13,71.12
derivative_high_vol,M5,20,8,2,0.05,0.0,1.0,4.0,100,0.8,29.19,3529,19.16,0.7803,99.98,-99.97,986,20.59,0.9118,68.24,-61.82,0.1315,-31.74,38.15,72.06,28.11,17192,19.44,0.7832,100.0,-100.0,4680,20.17,0.8774,99.78,-99.77,0.0942,-0.22,0.23,72.78
