tf,ema_period,atr_channel_mult,sl_atr_mult,rr,session_label,train_trades,train_win_rate,train_profit_factor,train_max_drawdown_pct,train_pnl_pct,oos_trades,oos_win_rate,oos_profit_factor,oos_max_drawdown_pct,oos_pnl_pct,total_trades,total_longs,total_shorts,avg_bars
M15,20,2.5,1.5,4.0,london,405,17.53,0.8298,58.77,-48.32,1913,20.6,0.9912,81.05,-40.78,2318,1158,1160,21.217471958584987
M15,20,3.0,1.0,3.0,newyork,95,17.89,0.6834,32.07,-23.14,593,25.8,0.9692,47.36,-20.79,688,336,352,12.88706395348837
M15,50,2.0,1.5,3.0,newyork,476,23.32,0.8807,51.95,-40.4,2263,25.06,0.9612,72.73,-63.82,2739,1307,1432,30.317378605330415
M15,20,3.0,1.5,4.0,newyork,95,20.0,1.0296,18.91,0.38,593,18.72,0.9591,48.98,-26.62,688,336,352,39.28662790697675
M15,100,3.0,1.5,2.0,newyork,343,30.9,0.8539,36.58,-32.39,1630,33.68,0.9561,74.1,-48.17,1973,961,1012,23.786771414090218
M15,20,3.0,1.5,3.0,newyork,95,22.11,0.8809,23.77,-9.57,593,24.62,0.9538,53.27,-25.78,688,336,352,31.70421511627907
M15,100,3.0,1.5,3.0,newyork,343,22.16,0.8284,41.28,-40.52,1630,24.91,0.9529,77.09,-56.7,1973,961,1012,32.39107957425241
M15,100,2.0,1.5,4.0,asian,378,21.96,1.0281,47.9,0.96,1839,20.72,0.9517,83.65,-67.66,2217,1079,1138,11.182949932341002
M15,20,3.0,1.0,4.0,newyork,95,12.63,0.6087,37.37,-29.21,593,20.07,0.95,45.8,-30.63,688,336,352,18.507122093023256
M15,20,2.0,1.5,4.0,london,645,18.14,0.8619,76.76,-58.27,3051,19.8,0.9413,92.22,-87.71,3696,1867,1829,21.083928571428572
M15,20,3.0,1.5,2.0,newyork,95,31.58,0.957,14.31,-3.61,593,33.05,0.9389,53.35,-26.62,688,336,352,20.680377906976744
M15,20,2.0,1.5,3.0,london,645,22.33,0.8212,75.55,-64.0,3051,24.88,0.934,92.03,-86.97,3696,1867,1829,15.071185064935065
M15,100,2.0,1.5,3.0,asian,378,24.87,0.9015,55.21,-30.01,1839,25.56,0.9317,84.45,-72.33,2217,1079,1138,9.534100135317997
M15,20,2.5,1.5,3.0,london,405,22.22,0.8218,55.12,-47.2,1913,24.78,0.9312,86.34,-73.22,2318,1158,1160,15.604831751509922
M15,50,2.0,1.0,4.0,newyork,476,18.91,0.8682,59.35,-46.66,2263,19.97,0.9308,84.24,-82.98,2739,1307,1432,18.77834976268711
M15,20,2.5,1.0,4.0,newyork,197,17.77,0.8245,34.51,-28.37,1076,19.8,0.9288,62.96,-57.58,1273,631,642,16.8725844461901
M15,50,3.0,1.5,4.0,london,450,17.56,0.8216,67.22,-53.58,2132,19.42,0.9278,82.52,-81.78,2582,1306,1276,21.083423702556157
M15,50,2.0,1.5,4.0,newyork,476,17.86,0.8908,57.84,-40.56,2263,18.78,0.9274,86.85,-83.28,2739,1307,1432,38.03048557867835
M15,100,2.5,1.0,4.0,newyork,373,19.3,0.8918,39.36,-34.02,1878,19.91,0.9258,86.38,-78.77,2251,1094,1157,19.730830741892493
M15,100,3.0,1.5,4.0,newyork,343,16.03,0.8032,47.96,-46.5,1630,18.65,0.9256,84.82,-73.05,1973,961,1012,40.021540800810946
M15,50,2.5,1.5,3.0,london,585,22.39,0.8195,73.91,-60.81,2852,24.68,0.9248,90.72,-87.9,3437,1724,1713,14.993599068955485
M15,50,3.0,1.5,3.0,london,450,22.22,0.813,62.91,-52.47,2132,24.62,0.9245,84.11,-79.47,2582,1306,1276,15.353137103020915
M15,100,2.5,1.0,3.0,newyork,373,24.93,0.9242,34.67,-24.4,1878,25.03,0.9245,85.65,-75.53,2251,1094,1157,15.29768991559307
M15,20,3.0,1.5,4.0,london,217,19.35,0.9181,42.85,-17.34,1112,19.06,0.9233,71.87,-60.34,1329,630,699,21.469375470278408
M15,50,2.0,1.5,4.0,london,730,19.73,0.9655,69.01,-29.69,3481,19.48,0.9216,97.16,-94.86,4211,2110,2101,20.37608644027547
M15,20,2.5,1.5,4.0,all,623,17.82,0.8333,67.26,-63.28,3024,19.41,0.9213,96.96,-92.45,3647,1839,1808,22.792514395393475
M15,50,2.5,1.5,4.0,london,585,18.12,0.8765,73.3,-51.27,2852,19.42,0.9194,92.64,-91.66,3437,1724,1713,20.94890893220832
M15,100,3.0,1.5,3.0,london,470,24.47,0.9194,46.47,-30.77,2233,24.59,0.9182,87.39,-83.0,2703,1359,1344,14.221642619311876
M15,100,3.0,1.0,4.0,london,470,18.51,0.8404,57.75,-52.34,2233,20.11,0.918,87.81,-86.68,2703,1359,1344,7.582537920828709
M15,100,2.5,1.5,3.0,london,532,23.87,0.8918,53.59,-41.38,2617,24.46,0.9122,92.71,-88.93,3149,1589,1560,14.104096538583676
M15,50,2.0,1.5,3.0,london,730,26.03,0.9975,53.9,-11.8,3481,24.48,0.9105,97.33,-94.93,4211,2110,2101,14.598717644265019
M15,20,2.5,1.5,4.0,newyork,197,19.8,1.0041,33.03,-3.17,1076,18.4,0.9096,70.67,-63.41,1273,631,642,38.191673212882954
M15,50,3.0,1.0,4.0,london,450,17.78,0.8026,66.73,-57.65,2132,19.93,0.9096,91.51,-87.49,2582,1306,1276,7.813710302091402
M15,100,3.0,1.0,4.0,newyork,343,16.62,0.752,57.65,-55.38,1630,19.57,0.9068,89.14,-80.02,1973,961,1012,19.095539787126203
M15,100,1.5,1.5,4.0,asian,379,22.16,1.0443,45.16,6.16,1954,19.91,0.9058,95.71,-86.08,2333,1095,1238,11.367509644234891
M15,100,3.0,1.0,3.0,newyork,343,22.74,0.8291,45.03,-40.89,1630,24.6,0.9037,87.4,-77.6,1973,961,1012,15.043385707045108
M15,50,2.0,1.5,2.0,newyork,476,30.88,0.8432,55.53,-44.1,2263,32.39,0.9034,85.43,-82.77,2739,1307,1432,22.213106973347937
M15,100,2.0,1.0,4.0,london,590,22.03,1.0353,44.45,5.07,2982,19.82,0.9015,98.0,-95.58,3572,1772,1800,7.798208286674132
M15,20,2.5,1.5,2.0,london,405,29.88,0.803,48.96,-46.26,1913,32.67,0.9014,80.67,-78.16,2318,1158,1160,9.379551337359793
M15,100,2.0,1.5,4.0,london,590,21.36,1.0489,41.83,11.99,2982,19.18,0.9013,98.0,-95.3,3572,1772,1800,19.07810750279955
M15,100,1.5,1.5,4.0,london,659,23.37,1.1674,38.13,108.12,3304,19.04,0.9004,98.73,-96.7,3963,1905,2058,19.89886449659349
M15,100,2.5,1.0,4.0,london,532,20.3,0.9358,53.81,-32.73,2617,19.76,0.8992,95.47,-93.84,3149,1589,1560,8.104096538583677
M15,100,2.5,1.0,2.0,newyork,373,34.85,0.9827,26.84,-7.91,1878,32.96,0.8983,84.44,-78.67,2251,1094,1157,9.83256330519769
M15,20,3.0,1.5,3.0,london,217,23.5,0.8788,42.7,-21.32,1112,24.01,0.8982,75.86,-65.25,1329,630,699,16.214296463506397
M15,20,2.5,1.5,3.0,newyork,197,23.86,0.9291,23.63,-12.82,1076,23.7,0.8977,71.32,-63.93,1273,631,642,29.78688138256088
M15,100,3.0,1.0,2.0,newyork,343,32.94,0.9024,37.44,-23.78,1630,32.94,0.8977,83.81,-74.02,1973,961,1012,10.00430816016219
M15,50,2.0,1.0,2.0,newyork,476,31.51,0.8439,53.97,-44.29,2263,32.92,0.8971,84.99,-84.74,2739,1307,1432,9.6609711573567
M15,100,2.5,1.5,2.0,newyork,373,33.78,0.9638,30.61,-12.22,1878,32.22,0.8966,86.75,-78.82,2251,1094,1157,23.163394047090183
M15,50,2.5,1.0,4.0,london,585,18.46,0.831,74.08,-62.17,2852,19.71,0.8955,96.8,-95.63,3437,1724,1713,7.940413151003782
M15,100,1.5,1.5,3.0,london,659,28.68,1.1398,30.08,78.44,3304,24.15,0.8952,98.74,-96.07,3963,1905,2058,14.36606106484986
M15,100,2.0,1.5,3.0,london,590,27.46,1.0728,35.17,26.21,2982,24.11,0.8927,97.93,-94.93,3572,1772,1800,13.765173572228443
M15,100,2.0,1.0,4.0,asian,378,19.58,0.8518,63.23,-43.71,1839,20.39,0.8918,90.11,-88.17,2217,1079,1138,6.002300405953992
M15,20,2.5,1.0,4.0,london,405,16.05,0.7104,70.41,-67.29,1913,19.55,0.8909,92.73,-88.62,2318,1158,1160,7.9271354616048315
M15,20,2.5,1.5,3.0,all,623,22.47,0.8248,63.8,-62.12,3024,24.04,0.8908,97.68,-95.35,3647,1839,1808,17.712092130518233
M15,50,2.5,1.5,3.0,newyork,385,21.3,0.7967,52.0,-49.65,1958,23.54,0.8904,86.74,-86.09,2343,1122,1221,31.177934272300465
M15,50,2.0,1.0,3.0,newyork,476,23.11,0.8351,62.69,-50.64,2263,24.3,0.8896,90.71,-90.33,2739,1307,1432,14.63048557867835
M15,100,2.0,1.0,2.0,newyork,395,38.23,1.1379,13.93,36.85,2030,32.76,0.8895,85.2,-83.5,2425,1191,1234,9.330309278350516
M15,20,3.0,1.5,4.0,all,315,19.68,0.9446,39.64,-18.64,1610,18.57,0.8884,89.79,-83.74,1925,945,980,23.03818181818182
M15,50,3.0,1.5,2.0,london,450,30.89,0.8419,48.84,-42.6,2132,32.36,0.8881,87.51,-85.12,2582,1306,1276,9.46599535243997
M15,20,1.5,1.0,4.0,newyork,534,19.29,0.8917,54.11,-44.86,2767,19.26,0.8877,97.41,-95.88,3301,1594,1707,18.045592244774312
M15,100,2.5,1.5,3.0,newyork,373,25.47,0.985,33.73,-9.44,1878,23.59,0.8874,90.58,-85.63,2251,1094,1157,31.44624611283874
M15,20,2.0,1.0,4.0,london,645,16.9,0.7526,82.98,-78.27,3051,19.53,0.8858,98.03,-97.29,3696,1867,1829,7.979220779220779
M15,100,3.0,1.5,2.0,london,470,31.7,0.8721,47.35,-37.79,2233,32.33,0.8856,89.0,-86.95,2703,1359,1344,9.278209396966334
M15,20,2.0,1.5,3.0,newyork,363,23.14,0.8822,38.13,-32.18,1772,23.53,0.8848,86.14,-84.56,2135,1068,1067,29.025058548009373
M15,100,2.5,1.5,4.0,london,532,19.92,0.9846,41.97,-15.85,2617,18.8,0.8834,96.89,-95.39,3149,1589,1560,19.839250555731976
M15,100,2.5,1.5,3.0,all,1128,25.98,0.9848,62.71,-26.29,5275,24.0,0.8831,99.83,-99.67,6403,3211,3192,18.364251132281744
M15,20,2.0,1.5,4.0,newyork,363,17.91,0.8739,45.34,-36.04,1772,18.17,0.8822,90.64,-87.45,2135,1068,1067,37.05704918032787
M15,100,3.0,1.5,4.0,london,470,19.79,0.9744,45.58,-17.45,2233,18.63,0.8804,93.55,-93.16,2703,1359,1344,20.10425453200148
M15,100,1.5,1.5,3.0,asian,379,24.01,0.8638,58.27,-37.81,1954,24.51,0.8798,95.25,-88.9,2333,1095,1238,9.551264466352336
M15,100,1.5,1.5,4.0,all,1262,22.35,1.0973,50.3,106.69,6417,18.87,0.8796,99.99,-99.96,7679,3688,3991,22.145123062898815
M15,50,1.5,1.0,4.0,london,856,20.56,0.9486,65.27,-42.12,4085,19.46,0.8792,99.67,-99.38,4941,2439,2502,7.43859542602712
M15,100,2.5,1.5,4.0,asian,365,23.01,1.0943,31.79,22.75,1645,19.39,0.8771,90.54,-87.4,2010,983,1027,11.099751243781094
